station_id,sample_id,longitude,latitude,type,rock_type,rock_name,rock_group,rock_age,rock_gcode,rock_desc,legend,date_sampled,geologist,quality,magnetics,S_ppm,K_ppm,Ca_ppm,Ti_ppm,V_ppm,Cr_ppm,Mn_ppm,Fe_ppm,Ni_ppm,Cu_ppm,Zn_ppm,As_ppm,Se_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Ba_ppm,Ce_ppm,W_ppm,Pb_ppm,Th_ppm,U_ppm
15GB0001,15GB0001,-63.3442328033,45.604395921,outcrop,volcanic,basalt,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,basalt,"163, C-Bdb, basalt",NA,TMH,carbonate filled amygdules,20.7,300,10695.6666667,90351,21408,224.666666667,41.6666666667,1953.66666667,113407.666667,22.6666666667,34,99.6666666667,19.1333333333,0.9,30.4666666667,315.333333333,61.3333333333,222.333333333,25.5666666667,1.4,2.45,11.5,4.5,342.333333333,29.5,4,1.8,2.5,4.5
15GB0005,15GB0005,-63.359038436,45.5923433377,outcrop,volcanic,rhyolite,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,Qtz + K-spar phyric (moderate) rhyolite,"137, C-Bdb, Qtz + K-spar phyric (moderate) rhyolite",NA,TMH,sulfidized,0.1,2455,32713.3333333,776,1094.33333333,93,37,220.333333333,8822.66666667,10.8333333333,5.33333333333,85.6666666667,13.1666666667,0.9,169.133333333,74.8666666667,98.3333333333,259.333333333,51.7666666667,1.4,2.45,112.333333333,4.5,1069.66666667,119,4,16.5666666667,24,4.5
15GB0007,15GB0007,-63.3607841643,45.5905346631,outcrop,volcanic,rhyolite,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,Qtz + K-spar phyric (moderate) rhyolite,"137, C-Bdb, Qtz + K-spar phyric (moderate) rhyolite",NA,TMH,sulfidized,0.11,709.666666667,36130.3333333,57.5,822,18,24.6666666667,436.666666667,36354.6666667,11.1666666667,29.3333333333,68.3333333333,46.6666666667,0.9,223.333333333,18.1666666667,192.333333333,1232,87,1.4,2.45,15,4.5,42.3333333333,85.3333333333,7,41.6666666667,33,4.5
15GB0009,15GB0009,-63.3596375138,45.5880641088,outcrop,volcanic,tuff,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,felsic crystal tuff,"145, C-Bdb, felsic crystal tuff",NA,TMH,sulfidized,0.195,300,49466,595.666666667,632.333333333,40,42.3333333333,195.333333333,8523.33333333,14,12.6666666667,54.3333333333,11.2666666667,0.9,263,37.5333333333,145.666666667,857,83.3666666667,1.4,2.45,4.5,4.5,70,152,7.66666666667,19.8333333333,34.6666666667,4.5
15GB0010,15GB0010,-63.3615128269,45.5865367135,outcrop,volcanic,tuff,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,felsic crystal welded tuff,"146, C-Bdb, felsic crystal welded tuff",NA,TMH,sulfidized,0.138,2448.33333333,44648.3333333,2522.66666667,1211.33333333,73.6666666667,69.6666666667,629.666666667,19493.6666667,15.6666666667,8.66666666667,212.666666667,23.9666666667,0.9,216.333333333,89.3333333333,208.666666667,1105,93,10.4666666667,2.45,4.5,4.5,167.333333333,268,4,35.2666666667,34,4.5
15GB0011,15GB0011,-63.3575612393,45.5857686203,float,volcanic,tuff,Byers or Diamond Brook Formation,Carboniferous,float location,felsic tuff,"143, C-Bdb, felsic tuff",NA,TMH,brecciated,NA,28931.6666667,38255,238.166666667,1529.66666667,55.6666666667,68.3333333333,1298.33333333,44865.6666667,20,16.3333333333,217.333333333,47,0.9,266,20.5,226.333333333,1312,126,1.4,2.45,18.6666666667,4.5,16,196,7,46,34.6666666667,4.5
15GB0024,15GB0024,-63.1940139131,45.5492064791,outcrop,volcanic,rhyolite,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,Qtz + K-spar phyric (sparse) brecciated rhyolite,"130, C-Bdb, Qtz + K-spar phyric (sparse) brecciated rhyolite",NA,TMH,veined,0.344,6017.33333333,23977.6666667,24290.3333333,3017.66666667,69.6666666667,32.6666666667,675.666666667,24329,8.33333333333,8.33333333333,69,12.8333333333,0.9,110.133333333,176.666666667,78,352,34,1.4,2.45,8.83333333333,4.5,597.333333333,117,6,25.7666666667,18,4.5
15GB0026,15GB0026,-63.1950467514,45.5538248961,outcrop,volcanic,rhyolite,Byers or Diamond Brook Formation,Carboniferous,mapped outcrop location,K-spar +/- Qtz phyric (abundant) rhyolite,"114, C-Bdb, K-spar +/- Qtz phyric (abundant) rhyolite",NA,TMH,veined,2.21,300,49040.3333333,4824.66666667,1308,67,36.3333333333,413.666666667,11230,9.5,9,44,7.5,0.9,213.666666667,74.5,93,345.333333333,49.8,3.6,2.45,6.66666666667,4.5,697.333333333,117.666666667,4,1.8,20.3333333333,4.5
15GB0028,15GB0028,-63.1940180412,45.5614619638,float,volcanic,basalt,Byers or Diamond Brook Formation,Carboniferous,float location,basalt,"163, C-Bdb, basalt",NA,TMH,veined,22,300,30082.1666667,100709.5,8837.33333333,170.833333333,46.6666666667,864.166666667,55717.8333333,22.4166666667,26,100.15,11.2583333333,0.9,226.533333333,270.666666667,22.8166666667,74.1833333333,8.59166666667,1.4,2.45,5.75,4.5,1959.5,29.5,4,2.41666666667,2.5,4.5
15GB0029,15GB0029,-63.1922962355,45.5635844359,float,volcanic,basalt,Byers or Diamond Brook Formation,Carboniferous,float location,basalt,"163, C-Bdb, basalt",NA,TMH,veined,NA,300,645.5,117191.166667,8861,96.8333333333,34.3,979.166666667,66202,39,34.1666666667,49.125,13,0.9,1.2,1199.66666667,24.2833333333,95.2666666667,12.0666666667,4.21666666667,2.45,7,4.5,16,29.5,6.16666666667,1.8,13.1666666667,4.5
